天笠 俊之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.03320203345793137
森嶋 厚行 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.02411143235895259
高橋 大介 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.019628916251110587
櫻井 鉄也 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.015286346789169014
渡辺 知恵美 ( 2020年度: 筑波技術大学, 産業技術学部, 准教授 )= 0.014838202347528228
朴 泰祐 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.014728120972850636
川島 英之 ( 2020年度: 慶應義塾大学, 環境情報学部(藤沢), 准教授 )= 0.014523565872841822
佐藤 三久 ( 2020年度: 国立研究開発法人理化学研究所, 計算科学研究センター, 副センター長 )= 0.014367621140246768
柳沢 正史 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.012933461565637482
塩川 浩昭 ( 2020年度: 筑波大学, 計算科学研究センター, 准教授 )= 0.012715610259186669
早瀬 康裕 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.012715610259186669
建部 修見 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.01198545785713183
田中 博 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.011937733196338913
堀江 和正 ( 2020年度: 筑波大学, 計算科学研究センター, 助教 )= 0.011739670129540015
陳 漢雄 ( 2020年度: 筑波大学, システム情報系, 講師 )= 0.011430173670862956
福井 和広 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.011091999912109421
徳山 薫平 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.01016366553183167
船戸 弘正 ( 2020年度: 東邦大学, 医学部, 教授
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 客員教授 )= 0.009910700786369856
久野 譜也 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.009517959302779641
古瀬 一隆 ( 2020年度: 白鴎大学, 経営学部, 准教授 )= 0.00948644619055716
前田 清司 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.008677274541903255
長瀬 博 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.008640990116613869
梅村 雅之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.008253844695122081
石川 佳治 ( 2020年度: 名古屋大学, 情報学研究科, 教授 )= 0.007429631089872259
庄司 功 ( 2020年度: 東京理科大学, 経営学部ビジネスエコノミクス学科, 教授 )= 0.007429631089872259
小久保 利雄 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.007093875522723616
宇陀 則彦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.006712886410523814
