北川 博之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.05723589456149477
天笠 俊之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.05225066228454605
高橋 大介 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.04017100668406549
渡辺 知恵美 ( 2020年度: 筑波技術大学, 産業技術学部, 准教授 )= 0.03455069739764982
早瀬 康裕 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.03305292524042033
堀江 和正 ( 2020年度: 筑波大学, 計算科学研究センター, 助教 )= 0.03163117587622663
森嶋 厚行 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.021606461608045822
朴 泰祐 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.01562668952071379
櫻井 鉄也 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.015540030098596174
佐藤 三久 ( 2020年度: 国立研究開発法人理化学研究所, 計算科学研究センター, 副センター長 )= 0.015246678307077207
川島 英之 ( 2020年度: 慶應義塾大学, 環境情報学部(藤沢), 准教授 )= 0.011936170685300266
建部 修見 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.01180193831921617
梅村 雅之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.011589758510731293
宇陀 則彦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.009415257973122326
田中 博 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.008904996769100837
森 正夫 ( 2020年度: 筑波大学, 計算科学研究センター, 准教授 )= 0.008814250138796062
陳 漢雄 ( 2020年度: 筑波大学, システム情報系, 講師 )= 0.008608165743708242
森田 昌彦 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.008456666998162363
井澤 淳 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.008381933085068554
福井 和広 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.008381335171156558
杉本 重雄 ( 2020年度: 筑波大学, 図書館情報メディア系, 名誉教授 )= 0.008148483778237387
川崎 真弘 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.00803890914811318
多田野 寛人 ( 2020年度: 筑波大学, 計算科学研究センター, 助教 )= 0.007961494361858295
古瀬 一隆 ( 2020年度: 白鴎大学, 経営学部, 准教授 )= 0.007039703023042328
石川 佳治 ( 2020年度: 名古屋大学, 情報学研究科, 教授 )= 0.00549089332024098
庄司 功 ( 2020年度: 東京理科大学, 経営学部ビジネスエコノミクス学科, 教授 )= 0.00549089332024098
柳沢 正史 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.005362610925047988
池内 淳 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.005267941720237697
佐久間 淳 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0049884081874857515
逸村 裕 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.00497061754636212
阪口 哲男 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.004616220980479696
永森 光晴 ( 2020年度: 筑波大学, 図書館情報メディア系, 講師 )= 0.004454868610144859
久野 譜也 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.004328790999653586
徳山 薫平 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.004216161266358121
上保 秀夫 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.004200408118219583
船戸 弘正 ( 2020年度: 東邦大学, 医学部, 教授
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 客員教授 )= 0.0040593320166870655
