馬場 忠 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.02070973106090574
柳沢 正史 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.019851783251083097
水野 聖哉 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.018430430563769605
柏原 真一 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.01781481752403941
杉山 文博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.015495171070881589
船戸 弘正 ( 2020年度: 東邦大学, 医学部, 教授
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 客員教授 )= 0.015231020879467082
八神 健一 ( 2020年度: 筑波大学, 医学医療系, 特命教授 )= 0.012802125455557489
藤山 知之 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0125415977897953
上田 壮志 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.011998637153779686
三輪 佳宏 ( 2020年度: 国立研究開発法人理化学研究所, バイオリソース研究センター, 室長 )= 0.011702032460643753
桝 正幸 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.011142559931519016
中西 友子 ( 2020年度: 公益財団法人微生物化学研究会, 微生物化学研究所, 博士研究員 )= 0.011064503912906205
西村 仁 ( 2020年度: 摂南大学, 理工学部, 教授 )= 0.011064503912906205
山縣 一夫 ( 2020年度: 近畿大学, 生物理工学部, 准教授 )= 0.011064503912906205
三好 千香 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.010650768877479688
Ｌｉｕ Ｑｉｎｇｈｕａ ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.010059063562735308
大根田 修 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.009697743523630892
庄司 一子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.009395850636508569
深水 昭吉 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 教授 )= 0.008507790759094518
佐藤 博志 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.008476871333989083
塩見 健輔 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.007652210671988156
桝 和子 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.006831766365624934
林 純一 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.00668763087191738
山本 雅之 ( 2020年度: 東北大学, 医学系研究科, 教授
2020年度: 東北大学, 東北メディカル・メガバンク機構, 教授 )= 0.006242091638869436
小金澤 禎史 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.006210322501354135
岡本 智周 ( 2020年度: 早稲田大学, 文学学術院, 教授 )= 0.006155329835035095
依馬 正次 ( 2020年度: 滋賀医科大学, 動物生命科学研究センター, 教授 )= 0.00603675871728051
大石 久史 ( 2020年度: 名古屋市立大学, 医薬学総合研究院(医学), 教授 )= 0.006033845250820565
濱田 理人 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.006028039965062322
村田 知弥 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.005270383546579403
久野 朗広 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.005041873984959489
村谷 匡史 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.004934202908132018
森岡 隆 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.004752501117341145
工藤 崇 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.004752501117341145
桜井 武 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0047050034431068265
野口 雅之 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00444436253010933
谷本 啓司 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.004173886558024977
征矢 英昭 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.004141253249065839
石田 純治 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 講師 )= 0.004029503561663695
長田 道夫 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.003970092847875188
北川 博之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.003880319916271709
高野 晋吾 ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.0037531251079670944
徳山 薫平 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0036856690203818997
加香 孝一郎 ( 2020年度: 筑波大学, 生命環境系, 講師 )= 0.0035997471312880164
岡田 拓也 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0035201502673172565
長瀬 博 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0033623275906191708
松崎 一葉 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0033293111720938667
久野 譜也 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0032045326768062386
入鹿山 容子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0031929372249439878
兼森 芳紀 ( 2020年度: 筑波大学, 生命環境系, 助教 )= 0.0031058906778012024
佐藤 誠 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0030789948455620837
水野 沙織 (飯島) ( 2020年度: 国立研究開発法人理化学研究所, バイオリソース研究センター, 特別研究員 )= 0.002935687900441507
濱田 博文 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.002822786603998671
斉藤 毅 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.002785913337254877
福島 敬 ( 2020年度: 埼玉医科大学, 医学部, 准教授 )= 0.0027570520699430564
クレウエ・ネベニウス ダニエラ ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0027262473121877325
曹 麗琴 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0027262473121877325
宮崎 均 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.002631024496590895
石川 栄一 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0025220870766650355
西村 健 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0024357623732802185
柳川 徹 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0024141608888908444
井田 仁康 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0023685460559233437
大徳 浩照 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 講師 )= 0.0023668052998655226
笹原 信一朗 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0023292630366061576
小久保 利雄 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.002300838490656672
宮内 卓 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0022925039169901145
礒田 正美 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.002220800365839792
金 俊達 ( 2020年度: 富山大学, 学術研究部薬学・和漢系, 准教授 )= 0.0022041705052776193
岡本 正洋 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.002201516374729322
原岡 誠司 ( 2020年度: 福岡大学, 医学部, 講師 )= 0.002196278315925959
小林 麻己人 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0021808781470751114
國田 智 ( 2020年度: 自治医科大学, 医学部, 教授 )= 0.0021101374019173165
唐木 清志 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.002107751826184457
大森 肇 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0020967731019525438
山下 年晴 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0020712585390129214
田中 俊之 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0020561519819272227
櫻井 勝康 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0020429608763411038
松井 崇 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.002029931107560302
甲斐 雄一郎 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0020229107817574927
村上 和雄 ( 2020年度: 公益財団法人国際科学振興財団, その他部局等, 主席研究員 )= 0.0020220853653667888
國分 麻里 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0020187069208392554
堀 大介 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0020164004090364503
道喜 将太郎 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0020164004090364503
大井 雄一 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0020164004090364503
青沼 和隆 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0019605661523818
玉岡 晃 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001945553175242099
萱場 桃子 ( 2020年度: 公益財団法人神経研究所, 研究部, 研究員 )= 0.0019244851058767788
森田 恵美 ( 2020年度: 国立研究開発法人森林研究・整備機構, 森林総合研究所, 主任研究員 等
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 准教授 )= 0.0019244851058767788
熊谷 嘉人 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0018600804273661536
勝田 茂 ( 2020年度: 東亜大学, その他の研究科, 客員教授 )= 0.0018531499173033215
卯城 祐司 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0018340908548229624
清水 美憲 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.001802037490938493
石崎 和宏 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.001798670135653724
福田 綾 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0017812542760483547
片平 克弘 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0017573440855452455
川口 純 ( 2020年度: 筑波大学, 人間系, 助教 )= 0.0017476732760960002
高橋 英幸 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0017234521894193898
田中 マリア ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0017046140312954106
樋口 直宏 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0017010291708131828
野口 恵美子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0016904738730606726
鍋倉 賢治 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0016872612332387538
北園 智弘 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.00166991483081736
杉山 芳宏 ( 2020年度: 尚絅学院大学, 総合人間科学系, 教授 )= 0.0016601490527203297
岡出 美則 ( 2020年度: 日本体育大学, スポーツ文化学部, 教授 )= 0.0016519303340179
蒔苗 直道 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.001650016869726191
白川 友紀 ( 2020年度: 筑波大学, システム情報系(特命教授), 特命教授 )= 0.0016486191532501307
正田 純一 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0016342145777078182
粕谷 善俊 ( 2020年度: 千葉大学, 大学院医学研究院, 准教授 )= 0.001601902817702347
高木 英樹 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0015939949269919357
久武 幸司 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001553837941240392
榎本 靖士 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0015481177629945214
永田 恭介 ( 2020年度: 筑波大学, 医学医療系(学長), 学長 )= 0.0015424309580246035
蕨 栄治 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0015227411765381057
加藤 光保 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0014945287475477298
長崎 勤 ( 2020年度: 実践女子大学, 生活科学部, 教授 )= 0.001455872907178155
大高 泉 ( 2020年度: 常磐大学, 人間科学部, 教授 )= 0.0014480089041277247
木塚 朝博 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0014467407824027615
村越 伸行 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0014451493017097166
塚田 泰彦 ( 2020年度: 関西外国語大学, 英語キャリア学部, 教授 )= 0.0014403987454362664
田中 喜代次 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0014014343859187325
濱田 洋実 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0013863091050471312
入江 賢児 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0013578434786596918
廣田 恵子 ( 2020年度: 東京女子医科大学, 医学部, 講師 )= 0.0013377903497530084
島野 仁 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0013271965878374392
窪田 眞二 ( 2020年度: 常葉大学, 教育学部, 教授 )= 0.0013045085685556442
岡崎 慎治 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.00129955679864468
礒田 博子 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0012938417853622483
吉田 武男 ( 2020年度: 関西外国語大学, 外国語学部, 教授 )= 0.0012929719558695694
根津 朋実 ( 2020年度: 早稲田大学, 教育・総合科学学術院, 教授 )= 0.0012929719558695694
斉藤 環 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0012865610133850622
田宮 菜奈子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0012657749453108046
伊東 進 ( 2020年度: 昭和薬科大学, 薬学部, 教授 )= 0.0012567479200616394
前田 清司 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0012532845722129896
中内 啓光 ( 2020年度: 東京大学, 医科学研究所, 特任教授 )= 0.001247262233398432
磯辺 智範 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0012441489636511745
千葉 滋 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0012375624648007363
丸島 愛樹 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0012084137535448513
須磨崎 亮 ( 2020年度: 茨城県立こども病院(小児医療・がん研究センター), 小児医療研究部門, 研究員
2020年度: 筑波大学, 医学医療系, 客員教授 )= 0.0012073505042553279
中田 和人 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0012035787231591192
渋谷 彰 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 教授 )= 0.0011946266951991036
上杉 憲子 ( 2020年度: 福岡大学, 医学部, 准教授 )= 0.001190241367520882
前野 哲博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0011800403181566957
高松 薫 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0011757545134698376
長谷川 雄一 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0011737851449569682
坪井 康次 ( 2020年度: 筑波大学, 医学医療系, 名誉教授 )= 0.0011681304590402011
中馬越 清隆 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0011629814111748177
辻 浩史 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0011629814111748177
田中 佐代子 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0011612188558139953
金保 安則 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0011457467722707703
藤田 晃之 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0011045088670080037
水本 徳明 ( 2020年度: 同志社女子大学, 教職課程センター, 教授 )= 0.0010897125330489143
橋本 幸一 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0010808082746087961
三島 初 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.001047016173691272
松村 明 ( 2020年度: 筑波大学, 医学医療系, 教授
2020年度: 茨城県立医療大学, 未登録, 学長 )= 0.001025728267766014
酒井 俊 ( 2020年度: 筑波技術大学, 保健科学部, 教授 )= 0.0010201174003411932
白木 仁 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0010190853267245943
竹田 一則 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0010069530809345285
大石 陽 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0009889455245285829
高田 陽子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0009889455245285829
我妻 ゆき子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009739684443766684
三好 浩稔 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0009729094169882635
天笠 俊之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0009645529044066792
麻見 直美 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0009506336161277421
久賀 圭祐 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009445772570905917
本間 三和子 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0009342690668896234
福住 昌司 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 准教授 )= 0.000930521400900339
渋谷 和子 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.000928123232570988
林 洋平 ( 2020年度: 国立研究開発法人理化学研究所, バイオリソース研究センター, チームリーダー )= 0.0009126792011116204
本橋 ほづみ ( 2020年度: 東北大学, 加齢医学研究所, 教授 )= 0.0009123166711128552
伊東 史子 ( 2020年度: 東京薬科大学, 生命科学部, 准教授 )= 0.0009115741842981573
松元 剛 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0009006033479810663
小田 竜也 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0008928248548524121
野呂 文行 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0008908799575136621
範 江林 ( 2020年度: 山梨大学, 大学院総合研究部, 教授 )= 0.0008858363033119335
長洲 南海男 ( 2020年度: 筑波大学, 人間系(名誉教授), 名誉教授 )= 0.0008741935040485635
西保 岳 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0008705649054070437
尾縣 貢 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0008696385957801709
伊藤 嘉朗 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0008625375488261532
大川 敬子 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0008504649505991876
福田 崇 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0008501164252324944
鍋山 隆弘 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0008440698201352909
大河内 信弘 ( 2020年度: 常磐大学, その他部局等, 教授
2020年度: 筑波大学, 医学医療系, 客員教授 )= 0.0008410008762590692
熊田 博明 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0008351534793968449
