高木 英樹 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.02928392906653096
鍋倉 賢治 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.02482865421571632
大森 肇 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.02402318002951152
本間 三和子 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.024017573948522577
白木 仁 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.024016997110526416
福田 崇 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.022890146656884564
松元 剛 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.022868524163742583
金谷 麻理子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.022524818054664268
坂本 昭裕 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.022400216505219384
榎本 靖士 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.02225303658323171
山田 永子 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.02224522874291506
宮下 憲 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授
2020年度: 帝京大学, 医療技術学部, 教授 )= 0.02182141981662884
鍋山 隆弘 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.021783544903895467
嵯峨 寿 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.021434773648347144
松田 裕雄 ( 2020年度: 筑波大学, 体育系, 研究員
2020年度: 筑波大学, 高細精医療イノベーション研究コア, 客員准教授 )= 0.021095452242382975
安藤 真太郎 ( 2020年度: 筑波大学, 体育系, 講師 )= 0.020736196759820802
平山 素子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.020736196759820802
吹田 真士 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.020736196759820802
向後 佑香 ( 2020年度: 筑波技術大学, 障害者高等教育研究支援センター, 助教 )= 0.020736196759820802
小俣 幸嗣 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.020736196759820802
尾縣 貢 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.011390895491766084
卞 圭悟 (大山 圭悟) ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.008834063477041845
前村 公彦 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.008623060178108212
吉田 拓矢 ( 2020年度: 筑波大学, 体育系, 特任助教 )= 0.008623060178108212
藤井 範久 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.007545485875859741
征矢 英昭 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0068712293228814355
阿江 通良 ( 2020年度: 日本体育大学, スポーツ文化学部, 教授 )= 0.006852768920510903
小池 関也 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.006269612132419961
長谷川 聖修 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.005428062876843818
木塚 朝博 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.005386713556744462
高松 薫 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.004874136958102525
徳山 薫平 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.004549115343127259
岡出 美則 ( 2020年度: 日本体育大学, スポーツ文化学部, 教授 )= 0.004098466160010859
向井 直樹 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0040246747078528326
西保 岳 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0038620866349846654
