community 1 =
納冨 昭弘 : 2020年度: 九州大学, 医学研究院, 准教授
山海 嘉之 : 2020年度: 筑波大学, システム情報系, 教授
星 拓男 : 2020年度: 筑波大学, 医学医療系, 准教授
川口 孝泰 : 2020年度: 東京情報大学, 看護学部, 教授
高野 晋吾 : 2020年度: 筑波大学, 附属病院, 病院講師
山縣 憲司 : 2020年度: 筑波大学, 医学医療系, 准教授
村越 伸行 : 2020年度: 筑波大学, 医学医療系, 准教授
島野 仁 : 2020年度: 筑波大学, 医学医療系, 教授
加藤 貴康 : 2020年度: 筑波大学, 医学医療系, 講師
大久保 麗子 : 2020年度: 筑波大学, 医学医療系, 助教
我妻 ゆき子 : 2020年度: 筑波大学, 医学医療系, 教授
石津 智子 : 2020年度: 筑波大学, 医学医療系, 准教授
松田 真秀 : 2020年度: 筑波大学, 医学医療系, 講師
小野 道之 : 2020年度: 筑波大学, 生命環境系, 准教授
加藤 秀之 : 2020年度: 筑波大学, 医学医療系, 講師
大石 基 : 2020年度: 筑波大学, 数理物質系, 准教授
永田 恭介 : 2020年度: 筑波大学, 医学医療系(学長), 学長
藤江 敬子 : 2020年度: 筑波大学, 医学医療系, 研究員
新井 恵美 : 2020年度: 筑波大学, 医学医療系, 講師
石川 博 : 2020年度: 筑波大学, 医学医療系, 研究員
高橋 宏 : nan
渡邊 幸秀 : 2020年度: 筑波大学, 医学医療系, 助教
加野 准子 : 2020年度: 筑波大学, 医学医療系, 講師
門根 秀樹 : 2020年度: 筑波大学, 医学医療系, 助教
三輪 正直 : 2020年度: 長浜バイオ大学, バイオサイエンス学部, 特別招聘教授
廣川 暢一 : 2020年度: 筑波大学, システム情報系, 助教
橋本 幸一 : 2020年度: 筑波大学, 医学医療系, 教授
杉井 成志 : 2020年度: 筑波大学, 附属病院, 病院助教
高田 健太 : 2020年度: 群馬県立県民健康科学大学, 診療放射線学部, 准教授
斎藤 慎二 : 2020年度: 常磐大学, 人間科学部, 教授
讃岐 勝 : 2020年度: 筑波大学, 医学医療系, 助教
Ｊｅｓｍｉｎ Ｓｕｂｒｉｎａ : 2020年度: 東邦大学, 医学部, 博士研究員
2020年度: 国立研究開発法人国立国際医療研究センター, その他部局等, その他
依馬 正次 : 2020年度: 滋賀医科大学, 動物生命科学研究センター, 教授
近藤 正英 : 2020年度: 筑波大学, 医学医療系, 教授
吉川 裕之 : 2020年度: 筑波大学, 医学医療系(名誉教授), 名誉教授
鄭 允文 : 2020年度: 横浜市立大学, 医学研究科, 客員准教授
2020年度: 筑波大学, 医学医療系, 客員研究員
佐藤 明 : 2020年度: 筑波大学, 医学医療系, 准教授
櫻井 利江 : 2020年度: 東京医科大学, 医学部, 教授
福島 紘子 : 2020年度: 筑波大学, 医学医療系, 講師
鈴木 英雄 : 2020年度: 筑波大学, 医学医療系, 准教授
長崎 幸夫 : 2020年度: 筑波大学, 数理物質系, 教授
鈴木 浩明 : 2020年度: 筑波大学, 医学医療系, 准教授
河原 貴史 : 2020年度: 筑波大学, 医学医療系, 講師
吉田 健太郎 : 2020年度: 筑波大学, 医学医療系, 准教授
粉川 美踏 : 2020年度: 筑波大学, 生命環境系, 助教
榎本 剛史 : 2020年度: 筑波大学, 医学医療系, 教授
兵頭 明夫 : 2020年度: 獨協医科大学, 医学部, 特任教授
平松 祐司 : 2020年度: 筑波大学, 医学医療系, 教授
佐伯 由香 : 2020年度: 愛媛大学, 医学系研究科, 教授
吉本 敬太郎 : 2020年度: 東京大学, 大学院総合文化研究科, 准教授
鈴木 健之 : 2020年度: 国立研究開発法人量子科学技術研究開発機構, 放射線医学総合研究所 放射線影響研究部, 博士研究員(任常)
2020年度: 国立研究開発法人宇宙航空研究開発機構, 有人宇宙技術部門, 宇宙航空プロジェクト研究員
須磨崎 亮 : 2020年度: 茨城県立こども病院(小児医療・がん研究センター), 小児医療研究部門, 研究員
2020年度: 筑波大学, 医学医療系, 客員教授
高屋敷 典生 : 2020年度: 筑波大学, 医学医療系, 准教授
村田 聡一郎 : 2020年度: 横浜市立大学, 医学部, 准教授
松原 宗明 : 2020年度: 筑波大学, 医学医療系, 講師
松丸 祐司 : 2020年度: 筑波大学, 医学医療系, 教授
池田 篤史 : 2020年度: 筑波大学, 附属病院, 病院講師
佐々木 薫 : 2020年度: 筑波大学, 医学医療系, 講師
大戸 達之 : 2020年度: 筑波大学, 医学医療系, 准教授
櫻井 英幸 : 2020年度: 筑波大学, 医学医療系, 教授
五十嵐 都 : 2020年度: 筑波大学, 医学医療系, 准教授
谷中 昭典 : 2020年度: 筑波大学, 医学医療系, 教授
山下 年晴 : 2020年度: 筑波大学, 医学医療系, 助教
伊東 健 : 2020年度: 弘前大学, 医学研究科, 教授
辻 比呂志 : 2020年度: 国立研究開発法人量子科学技術研究開発機構, 放射線医学総合研究所 臨床研究クラスタ, 副クラスタ長(定常)
照沼 利之 : 2020年度: 筑波大学, 医学医療系, 助手
矢藤 繁 : 2020年度: 筑波大学, 医学医療系, 教授
尾花 望 : 2020年度: 筑波大学, 医学医療系, 助教
北村 豊 : 2020年度: 筑波大学, 生命環境系, 教授
坂東 裕子 : 2020年度: 筑波大学, 医学医療系, 准教授
黒木 健志 : 2020年度: 筑波大学, 附属病院, 病院講師
奥脇 暢 : 2020年度: 北里大学, 薬学部, 教授
酒井 愛子 : 2020年度: 国立研究開発法人国立国際医療研究センター, 肝炎・免疫研究センター, 研究員
2020年度: 茨城県立こども病院(小児医療・がん研究センター), 小児医療研究部門, 研究員
2020年度: 筑波大学, 附属病院, 医員
徳永 千穂 : 2020年度: 埼玉医科大学, 医学部, 講師
小田 竜也 : 2020年度: 筑波大学, 医学医療系, 教授
柳川 徹 : 2020年度: 筑波大学, 医学医療系, 教授
服部 圭一朗 : 2020年度: 筑波大学, 附属病院, 病院講師
横谷 省治 : 2020年度: 筑波大学, 医学医療系, 教授
岩淵 敦 : 2020年度: 筑波大学, 医学医療系, 講師
伊藤 嘉朗 : 2020年度: 筑波大学, 医学医療系, 講師
花井 修次 : 2020年度: 国立研究開発法人産業技術総合研究所, その他部局等, その他
島居 徹 : 2020年度: 筑波大学, 医学医療系, 客員研究員
阿久津 博義 : 2020年度: 筑波大学, 医学医療系, 講師
橋本 孝之 : 2020年度: 北海道大学, 医学研究院, 准教授
岩崎 仁 : 2020年度: 筑波大学, 医学医療系, 講師
中内 靖 : 2020年度: 筑波大学, システム情報系, 教授
落合 直之 : 2020年度: 筑波大学, 医学医療系(名誉教授), 名誉教授
河合 弘二 : 2020年度: 国際医療福祉大学, 国際医療福祉大学成田病院, 教授
前野 貴美 : 2020年度: 筑波大学, 医学医療系, 講師
田尻 和子 : 2020年度: 筑波大学, 医学医療系, 助教
2020年度: 国立研究開発法人医薬基盤・健康・栄養研究所, 医薬基盤研究所 霊長類医科学研究センター, 協力研究員
松本 孔貴 : 2020年度: 筑波大学, 医学医療系, 助教
磯 博康 : 2020年度: 大阪大学, 医学系研究科, 教授
2020年度: 国立研究開発法人国立国際医療研究センター, その他部局等, グローバルヘルス政策研究センター長
齋藤 誠 : 2020年度: 筑波大学, 医学医療系, 准教授
