大澤 義明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.014776282183945133
吉瀬 章子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.01438332058349721
歳森 敦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.013561763913377269
森嶋 厚行 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.013523862614396757
山本 早里 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.011682968228164406
木村 武史 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.01166784407554719
新井 哲明 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.011225449727719
河野 了 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.011053142295492008
渡辺 俊 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.010983376620150429
繁野 麻衣子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.010658482541721697
鈴木 勉 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.010503730409445166
村山 祐司 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.010436459265020143
二村 保徳 ( 2020年度: 筑波大学, システム情報系, 助教 )= 0.010417586707696254
林 みちこ ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.010081969150044287
櫻井 鉄也 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.010026323208405059
天笠 俊之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.009969305503213578
北川 博之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.009969305503213578
田林 明 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.008976777905296902
五十殿 利治 ( 2020年度: 筑波大学, 芸術系(特命教授), 特命教授 )= 0.008775488496750902
久野 誉人 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.008672916127672056
高橋 伸 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.008549599786721516
秋山 英三 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.008467557018720415
松井 健一 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.008435632076324457
村上 史明 ( 2020年度: 筑波大学, 芸術系, 助教 )= 0.008427772691802116
谷口 守 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.00841916973605424
森本 健弘 ( 2020年度: 筑波大学, 生命環境系, 講師 )= 0.008077907220099746
稲垣 敏之 ( 2020年度: 筑波大学, システム情報系(副学長), 副学長 )= 0.00800008081787379
藤井 さやか ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.00795678148596266
上北 恭史 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.007872249217742123
山中 敏正 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0076946080450109875
堤 盛人 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.007653240524926344
有田 智一 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.007564244829523493
藤川 昌樹 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.007456891405514264
小嶋 華津子 ( 2020年度: 慶應義塾大学, 法学部(三田), 教授 )= 0.007347981360773412
雨宮 護 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.007226276158035485
澤田 浩子 ( 2020年度: 筑波大学, 人文社会系, 准教授 )= 0.006906955788164294
竹原 浩太 ( 2020年度: 東京都立大学, 経営学研究科, 准教授 )= 0.006835063814354916
