community 1 =
上田 壮志 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教
三好 千香 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教
北川 博之 : 2020年度: 筑波大学, 計算科学研究センター, 教授
藤山 知之 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教
Ｌｉｕ Ｑｉｎｇｈｕａ : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授
水野 聖哉 : 2020年度: 筑波大学, 医学医療系, 准教授
櫻井 勝康 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教
南雲 康行 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教
福住 昌司 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 准教授
高橋 智 : 2020年度: 筑波大学, 医学医療系, 教授
桜井 武 : 2020年度: 筑波大学, 医学医療系, 教授
入鹿山 容子 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員
柳沢 正史 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授
斉藤 毅 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教
村田 知弥 : 2020年度: 筑波大学, 医学医療系, 助教
田邉 解 : 2020年度: 駒沢女子大学, 人間健康学部, 准教授
長瀬 博 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授
曹 麗琴 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教
小久保 利雄 : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授
久野 朗広 : 2020年度: 筑波大学, 医学医療系, 助教
船戸 弘正 : 2020年度: 東邦大学, 医学部, 教授
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 客員教授
クレウエ・ネベニウス ダニエラ : 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員

community 2 =
鍋倉 賢治 : 2020年度: 筑波大学, 体育系, 教授
松元 剛 : 2020年度: 筑波大学, 体育系, 准教授
山田 永子 : 2020年度: 筑波大学, 体育系, 助教
向後 佑香 : 2020年度: 筑波技術大学, 障害者高等教育研究支援センター, 助教
安藤 真太郎 : 2020年度: 筑波大学, 体育系, 講師
高木 英樹 : 2020年度: 筑波大学, 体育系, 教授
本間 三和子 : 2020年度: 筑波大学, 体育系, 教授
福田 崇 : 2020年度: 筑波大学, 体育系, 准教授
小俣 幸嗣 : 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授
白木 仁 : 2020年度: 筑波大学, 体育系, 教授
松田 裕雄 : 2020年度: 筑波大学, 体育系, 研究員
2020年度: 筑波大学, 高細精医療イノベーション研究コア, 客員准教授
谷川 聡 : 2020年度: 筑波大学, 体育系, 准教授
榎本 靖士 : 2020年度: 筑波大学, 体育系, 准教授
