高橋 智 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.002338116945647618
田宮 菜奈子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0023226602614584597
野口 雅之 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.002110071129437766
高木 英樹 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0020985713051901857
丸島 愛樹 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.002015269253175094
柳沢 正史 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.002008748425181304
正田 純一 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001987703817250202
島野 仁 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0019868684122922547
岡崎 慎治 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.001972341333226381
吉瀬 章子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.001917008075207528
井田 仁康 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0019068886070890466
大澤 義明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0019060306695395442
北川 博之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.001868149113327799
礒田 正美 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0018493913657353016
大森 肇 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0018449477758017267
田中 喜代次 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0017733468900079197
野呂 文行 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0017681731523426206
宇陀 則彦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0017657221333851345
小田 竜也 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0017525869964525186
佐々木 建昭 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0017347233411732965
磯辺 智範 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.001732636595013959
竹田 一則 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0017117775579202344
林 誠 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 助教 )= 0.0016979716145633116
三輪 佳宏 ( 2020年度: 国立研究開発法人理化学研究所, バイオリソース研究センター, 室長 )= 0.0016730191162917995
蕨 栄治 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0016726237610080246
鍋倉 賢治 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.001630510875083664
赤平 昌文 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0016236024716171087
柳川 徹 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0016100842075254705
大澤 良 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0016083620802103992
久野 譜也 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0016078208926846092
柿澤 敏文 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0015987238612927446
大根田 修 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0015929616124214277
三明 康郎 ( 2020年度: 筑波大学, 数理物質系(特命教授), 特命教授 )= 0.001584070762887402
佐藤 誠 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0015768354331587855
大河内 信弘 ( 2020年度: 常磐大学, その他部局等, 教授
2020年度: 筑波大学, 医学医療系, 客員教授 )= 0.0015707852007428374
若林 誠一郎 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0015679376836798462
唐木 清志 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.001565366841664405
石田 健一郎 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0015593512398141098
氏家 清和 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0015398458141771896
